1.28|Поле|Город|city|Текстовый|-|Нет|!!ToDo: Добавить описание|{"number": "1.28", "name": "city", "static": true, "dataType": "STRING", "fetchMode": "NORMAL", "calculated": false, "displayName": "Город", "fullTextIndexed": false, "hideFilterOptions": false}
1.29|Поле|Населенный пункт|settlement|Текстовый|-|Нет|!!ToDo: Добавить описание|{"number": "1.29", "name": "settlement", "static": true, "dataType": "STRING", "fetchMode": "NORMAL", "calculated": false, "displayName": "Населенный пункт", "fullTextIndexed": false, "hideFilterOptions": false}
1.30|Поле|Улица (проспект, переулок и т.п.)|street|Текстовый|-|Нет|!!ToDo: Добавить описание|{"number": "1.30", "name": "street", "static": true, "dataType": "STRING", "fetchMode": "NORMAL", "calculated": false, "displayName": "Улица (проспект, переулок и т.п.)", "fullTextIndexed": false, "hideFilterOptions": false}
1.31|Поле|Дом (владение)|house|Текстовый|-|Нет|!!ToDo: Добавить описание|{"number": "1.31", "name": "house", "static": true, "dataType": "STRING", "fetchMode": "NORMAL", "calculated": false, "displayName": "Дом (владение)", "fullTextIndexed": false, "hideFilterOptions": false}
1.32|Поле|Корпус (строение)|building|Текстовый|-|Нет|!!ToDo: Добавить описание|{"number": "1.32", "name": "building", "static": true, "dataType": "STRING", "fetchMode": "NORMAL", "calculated": false, "displayName": "Корпус (строение)", "fullTextIndexed": false, "hideFilterOptions": false}
1.33|Поле|Квартира (офис)|apartment|Текстовый|-|Нет|!!ToDo: Добавить описание|{"number": "1.33", "name": "apartment", "static": true, "dataType": "STRING", "fetchMode": "NORMAL", "calculated": false, "displayName": "Квартира (офис)", "fullTextIndexed": false, "hideFilterOptions": false}
1.34|Поле|Наименование|name|Текстовый|-|Нет|!!ToDo: Добавить описание|{"number": "1.34", "name": "name", "static": false, "dataType": "STRING", "fetchMode": "NORMAL", "calculated": false, "displayName": "Наименование", "hideFilterOptions": false}
1.34.1|Поле|-|-|-|-|Нет|!!ToDo: Добавить описание|{"number": "1.34.1"}
1.35|Поле|Номер|docNumber|Текстовый|-|Нет|!!ToDo: Добавить описание|{"number": "1.35", "name": "docNumber", "static": false, "dataType": "STRING", "fetchMode": "NORMAL", "calculated": false, "displayName": "Номер", "hideFilterOptions": false}
1.35.1|Поле|-|-|-|-|Нет|!!ToDo: Добавить описание|{"number": "1.35.1"}
1.36|Поле|Дата|adminDate|Дата|-|Нет|!!ToDo: Добавить описание|{"number": "1.36", "name": "adminDate", "static": false, "dataType": "DATE", "fetchMode": "NORMAL", "calculated": false, "displayName": "Дата", "hideFilterOptions": false}
1.36.1|Поле|-|-|-|-|Нет|!!ToDo: Добавить описание|{"number": "1.36.1", "maxDate": "2100-01-01T00:00:00", "minDate": "1900-01-01T00:00:00"}
1.37|Поле|Орган, издавший документ|issuer|Текстовый|-|Нет|!!ToDo: Добавить описание|{"number": "1.37", "name": "issuer", "static": false, "dataType": "STRING", "fetchMode": "NORMAL", "calculated": false, "displayName": "Орган, издавший документ", "hideFilterOptions": false}
1.37.1|Поле|-|-|-|-|Нет|!!ToDo: Добавить описание|{"number": "1.37.1"}
1.38|Вложенный список|Вложенный список "Филиалы/обособленные подразделения"|separateDivisions|-|-|-|!!ToDo: Добавить описание|{"number": "1.38", "name": "separateDivisions", "static": false, "dataType": "LIST", "fetchMode": "NORMAL", "displayName": "Филиалы/обособленные подразделения", "hideFilterOptions": false}
1.38.1|Поле|КПП|sepDivKpp|Текстовый|-|Нет|!!ToDo: Добавить описание|{"number": "1.38.1", "name": "sepDivKpp", "static": false, "dataType": "STRING", "fetchMode": "NORMAL", "displayName": "КПП", "hideFilterOptions": false}
1.38.2|Поле|Наименование|sepDivName|Текстовый|-|Нет|!!ToDo: Добавить описание|{"number": "1.38.2", "name": "sepDivName", "static": false, "dataType": "STRING", "fetchMode": "NORMAL", "displayName": "Наименование", "hideFilterOptions": false}
1.38.3|Поле|Адрес|sepDivAddres|Текстовый|-|Нет|!!ToDo: Добавить описание|{"number": "1.38.3", "name": "sepDivAddres", "static": false, "dataType": "STRING", "fetchMode": "NORMAL", "displayName": "Адрес", "hideFilterOptions": false, "dataFieldLastPublishedName": "sepDivAdres"}
1.38.4|Поле|Тип|sepDivType|Текстовый|-|Нет|!!ToDo: Добавить описание|{"number": "1.38.4", "name": "sepDivType", "static": false, "dataType": "STRING", "fetchMode": "NORMAL", "displayName": "Тип", "hideFilterOptions": false}
1.38.5|Поле|Отметка о регистрации в ЕГРЮЛ (при наличии)|registrationNote|Текстовый|-|Нет|!!ToDo: Добавить описание|{"number": "1.38.5", "name": "registrationNote", "static": false, "dataType": "STRING", "fetchMode": "NORMAL", "displayName": "Отметка о регистрации в ЕГРЮЛ (при наличии)", "hideFilterOptions": false}
1.38.1|Поле|-|-|-|-|Нет|!!ToDo: Добавить описание|{"number": "1.38.1"}
1.39|Вложенный список|Вложенный список "Основание для включения в Мос. реестр"|mosRegistryBasisInclusions|-|-|-|!!ToDo: Добавить описание|{"number": "1.39", "name": "mosRegistryBasisInclusions", "static": false, "dataType": "LIST", "fetchMode": "NORMAL", "displayName": "Основание для включения в Мос. реестр", "hideFilterOptions": false}
1.39.1|Поле|№ государственного контракта (контракта), договора (соглашения), контракта (договора)|stateContractNumber|Текстовый|-|Нет|!!ToDo: Добавить описание|{"number": "1.39.1", "name": "stateContractNumber", "static": false, "dataType": "STRING", "fetchMode": "NORMAL", "displayName": "№ государственного контракта (контракта), договора (соглашения), контракта (договора)", "hideFilterOptions": false}
1.39.2|Поле|Дата государственного контракта (контракта), договора (соглашения), контракта (договора)|stateContractDate|Дата|-|Нет|!!ToDo: Добавить описание|{"number": "1.39.2", "name": "stateContractDate", "static": false, "dataType": "DATE", "fetchMode": "NORMAL", "displayName": "Дата государственного контракта (контракта), договора (соглашения), контракта (договора)", "hideFilterOptions": false, "dataFieldLastPublishedName": "s"}
